user,user_url,comment_date,comment,course_time,star,like
Alivinglegend,www.icourse163.org/home.htm?userId=1034056275,2018/1/17,作为其他专业的~刚开始学还是有点吃力的~同时听三个老师的课，哈哈，入门后应该就好了,5,5,229
深冬之王,www.icourse163.org/home.htm?userId=1136032239,2018/3/15,这个课程最不一样的就是，这不愧是北京理工大学教PYTHON 的讲师。每节课程本身都有强烈的新鲜感 做到这点是需要花费很多心思的，感谢讲师。,6,5,216
龚小凤3,www.icourse163.org/home.htm?userId=1136036136,2018/3/15,这位老师讲的生动有趣引人入胜，真的相当不错。讲解的有概念这点非常重要，很容易帮助学者理解。大赞。,6,5,168
蓝瞳之惑,www.icourse163.org/home.htm?userId=1136021463,2018/3/14,老师讲的确实挺好， 公道一点说，讲的很细致很透彻。 而且我听的很清楚， 没有方言口音，那是我最不能接受的。 重点还在于学习之后的练习。PYTHON这门语言我一直想学， 这次有这么好的公开课了，我学习就更方便了。,6,4,154
陈海萍825,www.icourse163.org/home.htm?userId=1136027877,2018/3/15,我非计算机专业，只是喜欢和爱好，基本的软件都还不全会，当看课件最担心上来就是密集的、使人昏昏欲睡的操作课。但听了老师的讲解后发现多虑了，表达轻松、简洁、除了操作以外还顺便带有一些基础原理部分，非常好。任何技巧都建立在理念的基础上，听过以后感觉自己的一些思路打开了许多！先建立起理念和意识是最重要的，对我来说有收获，不错,6,5,130
不倒的小草,www.icourse163.org/home.htm?userId=1136029370,2018/3/14,哇！说真的， 我们学校的老师要是这么讲课 ，我早就学会了。 清晰透彻 ，光一个摄氏度与华氏度的转换， 都能这么详细的比喻讲解， 这个老师真的好认真， 好棒~,6,5,109
一个人的奋斗11,www.icourse163.org/home.htm?userId=1136034301,2018/3/15,快速练习自己的学习成果，在python123.io 注册账号，进行习题训练，是个简单实用的好办法！点赞～,6,5,85
蓝海浪,www.icourse163.org/home.htm?userId=1136035593,2018/3/15,嵩天老师的课是性价比最高的课程。不仅如此，在教授的过程中充分体现了嵩天老师的职业素养和专业水平。认真负责，就如同在学校的课堂上上课。是最值得信赖推荐给大家的好课程！谢谢嵩天老师！,6,5,80
挨筒锡掺,www.icourse163.org/home.htm?userId=1136021554,2018/3/14,老师讲的太详细了， 听了以后茅舍顿开，我决定要按老师说的 ， 预备25 个小时，实现我的 编程能力。 做好功课！ 谢谢老师·,6,5,77
啊不溜,www.icourse163.org/home.htm?userId=1136372935,2018/3/14,课程组织分明，由浅入深，是python新手值得看的一门基础课程。只是部分视频上传不完整，或者没有语音，有点瑕疵。,6,5,76
风中的飘摇,www.icourse163.org/home.htm?userId=1136031596,2018/3/15,老师好。我按照你说的方法尝试了一下。每天写一边学习一边做练习题，对我来说很棒。三天下来感觉很棒。学过的东西立刻掌握， 不会忘记，真的非常好。,6,5,67
赖华英,www.icourse163.org/home.htm?userId=1136037026,2018/3/15,老师非常认真，讲的都是要点，一点也不对付，给老师点赞！专业加敬业，棒棒哒！,6,5,57
mooc烟消云散,www.icourse163.org/home.htm?userId=1136034547,2018/3/15,"制定了学习计划，我每天学习一部分，不贪多，边学习边做习题，一次一个习题，经过实践，我深有同感！如果……就及假想试着操作！
",6,5,56
ywx613,www.icourse163.org/home.htm?userId=1136875284,2018/3/13,喜欢老师讲的课，让我这个医学生也能学会,6,5,56
寻常007,www.icourse163.org/home.htm?userId=1136227692,2018/3/15,讲的很好，节奏很合适，以前大学上C语言课程的枯燥感几乎没有了，让人愿意主动去学，去思考。,6,5,55
林林半仙,www.icourse163.org/home.htm?userId=1136025062,2018/3/14,喜欢老师的讲课， 清晰透明， 一说就懂， 我还需要更多的时间和耐心详细学习。,6,5,54
陌小晟,www.icourse163.org/home.htm?userId=1136020554,2018/3/6,课程很棒，很期待后续python应用的其他课程,6,5,54
幻影study6,www.icourse163.org/home.htm?userId=4486237,2018/3/14,不知道为什么会有那么多低评，编程课程本来就是老师讲解知识基本框架和语句，python不像C类语言那么复杂，python简化了很多编程的过程所要处理的事情。学习编程本应该就是自己多练习，多读代码，自己去理解每个实例代码，这些不应该是老师来手把手带你读的。,6,5,53
就是学霸,www.icourse163.org/home.htm?userId=1136037105,2018/3/15,嵩老师讲的太好了！真的太好了！思路清晰，剖析清楚，道理浅显易懂，还非常非常的实用！很多技巧，直接拿过来就能用！还有，简直刷新三观，如梦初醒！非常好的一套好课程，真诚推荐给大家！,6,5,52
罗发发,www.icourse163.org/home.htm?userId=1136035652,2018/3/15,讲得内容很多也很实用，非常好的课程，非常庆幸活动。做习题也很快能掌握课堂内容，不错不错,6,5,50
精彩编程,www.icourse163.org/home.htm?userId=1136038187,2018/3/15,连续听了几天课 感觉收获很大 点出了没有学好Python 的全部问题 继续听课 调整思路 提高认识 学好Python ,6,5,49
敏锐的锐,www.icourse163.org/home.htm?userId=1136031640,2018/3/15,很受益，感谢老师，现在就是在练习题的地方 处理不好，努力练习起来！,6,5,48
我的大学4年,www.icourse163.org/home.htm?userId=1136031070,2018/3/15,课程很好，值得学习，但希望课程中涉及到的实操素材可以提供，方便练习。尤其是 Pyyhon123.io  中的习题部分。,6,5,46
文正太浩,www.icourse163.org/home.htm?userId=1136033672,2018/3/15,感觉以前都白学了，哈哈，不过正好属于归零心态，更容易接受老师所讲所分析的。真的是浅显易懂。希望18年里Python 能真正捡起来用起来。加油加油！,6,5,45
漫舞天涯,www.icourse163.org/home.htm?userId=1136034728,2018/3/15,第一节课就提供了满满的干货啊，谢谢阿何！ 物超所值！总结出了一套有体系化的规律！！正在学习，每节课都是满满的干货，简直是物超所值，感谢老师！,6,5,45
拆不倒的城墙,www.icourse163.org/home.htm?userId=1136031586,2018/3/15,请问有教学微信群吗？,6,5,45
大大郭哥,www.icourse163.org/home.htm?userId=1136029721,2018/3/15,真是太牛了！这课听得上瘾,6,5,45
mooc1520908859644,www.icourse163.org/home.htm?userId=1137026147,2018/3/14,"不错,非常适合我这样的小白",6,5,45
心中的宇宙,www.icourse163.org/home.htm?userId=1136033513,2018/3/15,听了几节课，感觉收获满满！！,6,5,44
誓言2we,www.icourse163.org/home.htm?userId=1136036089,2018/3/15,进来报名了， 就要学到底， 这是一门好课程。,6,5,44
会飞的心2018,www.icourse163.org/home.htm?userId=1136029745,2018/3/15,课程短小精悍,6,5,44
痴迷_,www.icourse163.org/home.htm?userId=1136033179,2018/3/15,沙发，喜欢，加油，等更新,6,5,44
CQU-唐基超,www.icourse163.org/home.htm?userId=1026410299,2018/3/15,"老师讲解很透彻，很不错
",6,5,44
澹泊mooc2,www.icourse163.org/home.htm?userId=1035876091,2018/3/14,嵩老师讲得非常好。,6,5,44
俯瞰千山wyj,www.icourse163.org/home.htm?userId=1025139263,2018/3/14,很好很好的,6,5,44
ttzxyuanhu163com,www.icourse163.org/home.htm?userId=1024024413,2018/3/14,很好，很棒，很强大,6,5,44
wabc,www.icourse163.org/home.htm?userId=1029299842,2018/3/14,学到新的东西啦，很值,6,5,44
程昊ykt1501680690631,www.icourse163.org/home.htm?userId=1028741025,2018/3/13,python无敌啊,6,5,44
陌花缓归,www.icourse163.org/home.htm?userId=1718149,2018/2/7,"国家精品课程？？？怎么评上的？？？
除了第一个男老师讲得稍微生动外，其余两个女老师就是读课件。强烈不推荐，不怕浪费时间就来选这门课。
估计给五分的不是脑子坏掉了就是北理工的托。",5,1,44
苕苕君子路,www.icourse163.org/home.htm?userId=1030591130,2018/3/14,很好很开心,6,5,43
yuanbq2014126com,www.icourse163.org/home.htm?userId=1020013822,2018/3/14,good!!!!!!!!!,6,5,43
月光伏案读书郎,www.icourse163.org/home.htm?userId=1136031879,2018/3/15,"谢谢老师，听完全部课程，觉得太好了，马上准备行动，遗憾的是咋没早点听这个课呢？之前浪费了多少时间啊！
",6,5,42
